created_at,one_minutes,sent_score,sent_label,sadness,joy,fear,disgust,anger,count
6/23/2020 15:36,6,0.764941,positive,0.244299,0.579637,0.09614,0.022188,0.025418,1
6/23/2020 15:36,6,0.930723,positive,0.085712,0.637095,0.199041,0.002168,0.14079,1
6/23/2020 15:36,6,-0.907154,negative,0.530108,0.070968,0.129889,0.137061,0.104452,1
6/23/2020 15:36,6,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:36,7,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:36,7,0,neutral,0.074114,0.120484,0.047231,0.360592,0.501885,1
6/23/2020 15:36,7,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:36,7,-0.704462,negative,0.341997,0.035447,0.043041,0.016282,0.132392,1
6/23/2020 15:36,7,0.5794,positive,0.005259,0.849289,0.003644,0.014744,0.152167,1
6/23/2020 15:36,7,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:36,7,-0.85484,negative,0.605642,0.027642,0.266809,0.150905,0.238329,1
6/23/2020 15:36,7,-0.954045,negative,0.411015,0.009446,0.252506,0.315404,0.369893,1
6/23/2020 15:36,7,0.678085,positive,0.099515,0.862752,0.019735,0.005287,0.009025,1
6/23/2020 15:36,7,0.934975,positive,0.384589,0.198253,0.036703,0.002053,0.083182,1
6/23/2020 15:36,7,0,neutral,0.119305,0.149718,0.058785,0.050303,0.105355,1
6/23/2020 15:36,7,0,neutral,0.11631,0.436773,0.048832,0.015097,0.014999,1
6/23/2020 15:36,7,0.827746,positive,0.134239,0.679131,0.063279,0.033319,0.098891,1
6/23/2020 15:36,7,0,neutral,0.148831,0.179551,0.091248,0.074744,0.088473,1
6/23/2020 15:36,7,0.5794,positive,0.005259,0.849289,0.003644,0.014744,0.152167,1
6/23/2020 15:36,7,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:36,7,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:36,7,0,neutral,0.090789,0.650767,0.048808,0.057013,0.20041,1
6/23/2020 15:36,7,-0.689765,negative,0.389345,0.321469,0.16501,0.038464,0.064495,1
